StockCode,description,list_price,category,subcategory,unit_cost
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.15623529411764706,General,Retail,0.10936470588235293
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,General,Retail,0.08399999999999999
16011, ANIMAL STICKERS,0.20955357142857142,General,Retail,0.1466875
16012,FOOD/DRINK SPUNGE STICKERS,0.2094047619047619,General,Retail,0.14658333333333332
16014,SMALL CHINESE STYLE SCISSOR,0.39526881720430107,General,Retail,0.2766881720430107
16015,MEDIUM CHINESE STYLE SCISSOR,0.4870769230769231,General,Retail,0.3409538461538461
16016,LARGE CHINESE STYLE SCISSOR,0.8401886792452831,General,Retail,0.5881320754716981
16020C,CLEAR STATIONERY BOX SET ,0.843,General,Retail,0.5901
16033,MINI HIGHLIGHTER PENS,0.11639999999999999,General,Retail,0.08147999999999998
16043,POP ART PUSH DOWN RUBBER ,0.31846153846153846,General,Retail,0.22292307692307692
16044,POP-ART FLUORESCENT PENS,0.3,General,Retail,0.21
16045,POPART WOODEN PENCILS ASST,0.049600000000000005,General,Retail,0.03472
16046,TEATIME PEN CASE & PENS,0.9443548387096774,General,Retail,0.6610483870967742
16047,POP ART PEN CASE & PENS,0.9583870967741934,General,Retail,0.6708709677419353
16048,TEATIME ROUND PENCIL SHARPENER ,0.40254716981132077,General,Retail,0.2817830188679245
16049,TEATIME GEL PENS ASST,0.381875,General,Retail,0.2673125
16050,TEATIME PENCIL WITH RUBBER,0.4,General,Retail,0.27999999999999997
16051,TEATIME PENCIL W STAMP ASST,0.4325,General,Retail,0.30274999999999996
16052,TEATIME PUSH DOWN RUBBER,0.5685714285714285,General,Retail,0.3979999999999999
16053,POPART COL BALLPOINT PEN ASST,0.174,General,Retail,0.12179999999999998
16054,POPART RECT PENCIL SHARPENER ASST,0.17384615384615382,General,Retail,0.12169230769230767
16119,FUNKY GIRL ADDRESS BOOK,1.0325,General,Retail,0.7227499999999999
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,2.25,General,Retail,1.575
16156L,"WRAP, CAROUSEL",0.42,General,Retail,0.294
16156N,"WRAP, FRIENDSHIP ON GREEN",0.42,General,Retail,0.294
16156S,WRAP PINK FAIRY CAKES ,0.41532219570405726,General,Retail,0.29072553699284004
16161C,WRAP SPEED DEMONS ,0.1,General,Retail,0.06999999999999999
16161E,WRAP BOUDOIR ,0.1,General,Retail,0.06999999999999999
16161G,WRAP BAD HAIR DAY,0.1,General,Retail,0.06999999999999999
16161M,WRAP  PINK FLOCK,0.41794871794871796,General,Retail,0.29256410256410254
16161P,WRAP ENGLISH ROSE ,0.41895454545454547,General,Retail,0.2932681818181818
16161U,"WRAP,SUKI AND FRIENDS",0.4180503144654088,General,Retail,0.29263522012578613
16162L,THE KING GIFT BAG,0.7496666666666667,General,Retail,0.5247666666666667
16162M,THE KING GIFT BAG 25x24x12cm,0.42,General,Retail,0.294
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.5918811881188119,General,Retail,0.4143168316831683
16168S,FUNKY MONKEY GIFT BAG SMALL,0.31363636363636366,General,Retail,0.21954545454545454
16169A,WRAP CHRISTMAS DECOUPAGE,0.42,General,Retail,0.294
16169C,WRAP BLUE REINDEER,0.42,General,Retail,0.294
16169D,WRAP WINTER FOREST,0.42,General,Retail,0.294
16169E,WRAP 50'S  CHRISTMAS,0.41919999999999996,General,Retail,0.29344
16169F,WRAP BLIZZARD,0.42,General,Retail,0.294
16169G,WRAP ROMANTIC DECOUPAGE,0.42,General,Retail,0.294
16169K,WRAP FOLK ART,0.3625,General,Retail,0.25375
16169M,WRAP DAISY CARPET ,0.35483333333333333,General,Retail,0.24838333333333332
16169N,WRAP BLUE RUSSIAN FOLKART,0.3501785714285714,General,Retail,0.24512499999999995
16169P,WRAP GREEN RUSSIAN FOLKART ,0.3577083333333333,General,Retail,0.2503958333333333
16192,PINK BALLET OPENING CUBE BOX ,4.3,General,Retail,3.01
16201A,PASTEL PINK PHOTO ALBUM,3.7744444444444443,General,Retail,2.642111111111111
16201B,PASTEL BLUE PHOTO ALBUM,2.838,General,Retail,1.9866
16202A,PASTEL PINK PHOTO ALBUM ,4.4852380952380955,General,Retail,3.139666666666667
16202B,PASTEL BLUE PHOTO ALBUM ,4.7690909090909095,General,Retail,3.3383636363636366
16202C,BEIGE PHOTO ALBUM,3.9766666666666666,General,Retail,2.7836666666666665
16202E,BLACK PHOTO ALBUM ,3.395,General,Retail,2.3765
16206B,RED PURSE WITH PINK HEART,1.23125,General,Retail,0.861875
16207A,PINK STRAWBERRY HANDBAG ,3.001578947368421,General,Retail,2.1011052631578946
16207B,PINK HEART RED HANDBAG,2.654782608695652,General,Retail,1.8583478260869564
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,1.6778048780487806,General,Retail,1.1744634146341464
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,0.65,General,Retail,0.45499999999999996
16216,LETTER SHAPE PENCIL SHARPENER,0.21955056179775279,General,Retail,0.15368539325842695
16218,CARTOON  PENCIL SHARPENERS,0.4536734693877551,General,Retail,0.31757142857142856
16219,HOUSE SHAPE PENCIL SHARPENER,0.555703125,General,Retail,0.3889921875
16225,RATTLE SNAKE EGGS,1.5598192771084338,General,Retail,1.0918734939759036
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.3089808917197452,General,Retail,0.2162866242038216
16236,KITTY PENCIL ERASERS,0.30335849056603775,General,Retail,0.21235094339622643
16237,SLEEPING CAT ERASERS,0.2964957264957265,General,Retail,0.20754700854700853
16238,PARTY TIME PENCIL ERASERS,0.30966244725738395,General,Retail,0.21676371308016876
16239,BALLERINA HEART DECORATION.,2.6557142857142857,General,Retail,1.8589999999999998
16243B,BROWN COZY SQUARE PHOTO ALBUM,5.49625,General,Retail,3.8473749999999995
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,4.073571428571428,General,Retail,2.8514999999999997
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,3.872068965517241,General,Retail,2.7104482758620683
16245A,PINK MINI STATIONERY SET W CASE,1.25,General,Retail,0.875
16248B,BLUE HOLE PUNCH,1.25,General,Retail,0.875
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.2665853658536586,General,Retail,0.8866097560975609
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.5841666666666667,General,Retail,0.4089166666666667
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42000000000000004,General,Retail,0.294
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.5233009708737864,General,Retail,0.3663106796116504
16258B,DAISY ERASERS IN BAG,0.36,General,Retail,0.252
16259,PIECE OF CAMO STATIONERY SET,0.14618181818181816,General,Retail,0.10232727272727271
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.27956521739130435,General,Retail,0.19569565217391305
17003,BROCADE RING PURSE ,0.3027272727272727,General,Retail,0.21190909090909085
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,General,Retail,1.47
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,2.7708333333333335,General,Retail,1.9395833333333332
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,1.2,General,Retail,0.84
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2.475,General,Retail,1.7325
17011D,ORIGAMI ROSE INCENSE+FLOWER,1.8375,General,Retail,1.28625
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.65,General,Retail,0.45499999999999996
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2.12,General,Retail,1.484
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,2.225520833333333,General,Retail,1.5578645833333329
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.1927777777777773,General,Retail,1.534944444444444
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2.016725663716814,General,Retail,1.4117079646017698
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1.9451724137931032,General,Retail,1.3616206896551721
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,2.488965517241379,General,Retail,1.7422758620689651
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.8778504672897196,General,Retail,1.3144953271028037
17013B,ORIGAMI JASMINE INCENSE IN TUBE,1.7066666666666668,General,Retail,1.1946666666666668
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.42,General,Retail,0.294
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.7083870967741936,General,Retail,1.1958709677419355
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,1.38,General,Retail,0.9659999999999999
17014A,ORIGAMI VANILLA INCENSE CONES,1.66,General,Retail,1.162
17014C,ORIGAMI LAVENDER INCENSE CONES,1.925,General,Retail,1.3475
17014D,ORIGAMI ROSE INCENSE CONES,1.7966666666666664,General,Retail,1.2576666666666665
17014E,ORIGAMI OPIUM INCENSE CONES,1.4249999999999998,General,Retail,0.9974999999999998
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,1.3125,General,Retail,0.91875
17021,NAMASTE SWAGAT INCENSE,0.2949397590361446,General,Retail,0.2064578313253012
17027A,INCENSE BAZAAR CANNABIS,0.355,General,Retail,0.24849999999999997
17028J,INCENSE BAZAAR PEACH,0.42,General,Retail,0.294
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.28536231884057967,General,Retail,0.19975362318840575
17038,PORCELAIN BUDAH INCENSE HOLDER,0.4290909090909091,General,Retail,0.30036363636363633
17039,INLAID WOOD INCENSE HOLDER,0.3774418604651163,General,Retail,0.2642093023255814
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.04,General,Retail,0.027999999999999997
17084A,TRANQUILITY MASALA INCENSE,0.21,General,Retail,0.147
17084G,MOON INCENSE,0.21,General,Retail,0.147
17084J,LOVE POTION MASALA INCENSE,0.21000000000000002,General,Retail,0.147
17084N,FAIRY DREAMS INCENSE ,0.34598930481283424,General,Retail,0.24219251336898395
17084P,DRAGONS BLOOD INCENSE,0.34428571428571425,General,Retail,0.24099999999999996
17084R,ASSORTED INCENSE PACK,0.20318181818181819,General,Retail,0.14222727272727273
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.2038461538461538,General,Retail,0.8426923076923076
17090D,VANILLA INCENSE 40 CONES IN TIN,1.2366666666666668,General,Retail,0.8656666666666667
17091A,LAVENDER INCENSE IN TIN,1.029059829059829,General,Retail,0.7203418803418802
17091B,JASMINE TEA INCENSE IN TIN,1.4219230769230768,General,Retail,0.9953461538461538
17091F,SANDALWOOD INCENSE IN TIN,1.58,General,Retail,1.1059999999999999
17091J,VANILLA INCENSE IN TIN,0.8962295081967213,General,Retail,0.6273606557377048
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.3223684210526316,General,Retail,0.22565789473684209
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,General,Retail,1.7849999999999997
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,0.42,General,Retail,0.294
17109A,FLOWER FAIRY INCENSE LILY,1.1861538461538461,General,Retail,0.8303076923076922
17109B,FLOWER FAIRY INCENSE LAVENDER,1.316470588235294,General,Retail,0.9215294117647058
17109C,FLOWER FAIRY INCENSE ROSE,1.238,General,Retail,0.8665999999999999
17109D,FLOWER FAIRY INCENSE BOUQUET,1.406153846153846,General,Retail,0.9843076923076922
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.8309090909090909,General,Retail,0.5816363636363636
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1.2087179487179487,General,Retail,0.846102564102564
17129F,DEEP BLUE GLASS GEMS IN BAG,1.4021232876712328,General,Retail,0.9814863013698629
17136A,BLUE STONES ON WIRE FOR CANDLE,0.10676470588235294,General,Retail,0.07473529411764705
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.4168292682926829,General,Retail,0.29178048780487803
17164D,ASS COL SMALL SAND FROG P'WEIGHT,0.41516129032258065,General,Retail,0.2906129032258064
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1.0298360655737704,General,Retail,0.7208852459016393
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.0346236559139785,General,Retail,0.7242365591397849
17174,ASSTD RASTA KEY-CHAINS,0.42,General,Retail,0.294
17178,FLAT PALM T-LIGHT HOLDER,1.234,General,Retail,0.8637999999999999
17181,CIRCLE OF FRIENDS CANDLE HOLDER,3.771641791044776,General,Retail,2.640149253731343
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,General,Retail,2.625
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.242972972972973,General,Retail,0.17008108108108108
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.5566666666666666,General,Retail,0.3896666666666666
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,1.8870408163265306,General,Retail,1.3209285714285715
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,3.4455,General,Retail,2.41185
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,5.151666666666666,General,Retail,3.6061666666666663
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,2.55,General,Retail,1.7849999999999997
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,2.55,General,Retail,1.7849999999999997
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.8269339622641505,General,Retail,1.9788537735849052
18098A,PINK PORCELAIN B'FLY OIL BURNER,2.95,General,Retail,2.065
18098B,BLUE PORCELAIN B'FLY OIL BURNER,2.9500000000000006,General,Retail,2.0650000000000004
18098C,PORCELAIN BUTTERFLY OIL BURNER,3.2679012345679013,General,Retail,2.2875308641975307
18098c,PORCELAIN BUTTERFLY OIL BURNER,5.067333333333333,General,Retail,3.547133333333333
20615,BLUE SPOTTY PASSPORT COVER,2.625306122448979,General,Retail,1.8377142857142852
20616,CHERRY BLOSSOM PASSPORT COVER,2.0985123966942147,General,Retail,1.4689586776859502
20617,FIRST CLASS PASSPORT COVER ,2.3980952380952383,General,Retail,1.6786666666666668
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.278905109489051,General,Retail,1.5952335766423358
20619,TROPICAL PASSPORT COVER ,2.341494845360825,General,Retail,1.6390463917525773
20620,RED SPOTTY PASSPORT COVER,4.104285714285714,General,Retail,2.8729999999999998
20621,ECONOMY PASSPORT COVER ,2.3584848484848484,General,Retail,1.6509393939393937
20622,VIPPASSPORT COVER ,2.634453125,General,Retail,1.8441171874999998
20652,BLUE SPOTTY LUGGAGE TAG ,1.410635838150289,General,Retail,0.9874450867052023
20653,CHERRY BLOSSOM LUGGAGE TAG,1.3807407407407408,General,Retail,0.9665185185185186
20654,FIRST CLASS LUGGAGE TAG ,1.3760330578512396,General,Retail,0.9632231404958677
20655,QUEEN OF SKIES LUGGAGE TAG,1.70125,General,Retail,1.190875
20657,TROPICAL LUGGAGE TAG,1.3230508474576272,General,Retail,0.926135593220339
20658,RED SPOTTY LUGGAGE TAG,1.6826256983240224,General,Retail,1.1778379888268156
20659,ECONOMY LUGGAGE TAG,1.5739285714285713,General,Retail,1.1017499999999998
20660,VIP LUGGAGE TAG ,1.25,General,Retail,0.875
20661,BLUE SPOTTY PURSE ,3.006048387096774,General,Retail,2.1042338709677417
20662,FIRST CLASS HOLIDAY PURSE ,2.718571428571429,General,Retail,1.903
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.5777272727272726,General,Retail,1.8044090909090906
20664,TROPICAL HOLIDAY PURSE ,2.712903225806452,General,Retail,1.8990322580645163
20665,RED SPOTTY PURSE ,3.8144985673352436,General,Retail,2.6701489971346706
20666,ECONOMY HOLIDAY PURSE,2.408478260869565,General,Retail,1.6859347826086954
20667,CHERRY BLOSSOM PURSE,2.6437500000000003,General,Retail,1.850625
20668,DISCO BALL CHRISTMAS DECORATION,0.16567204301075267,General,Retail,0.11597043010752686
20669,RED HEART LUGGAGE TAG,1.595590909090909,General,Retail,1.1169136363636363
20670,VIP HOLIDAY PURSE,2.8625000000000003,General,Retail,2.00375
20671,BLUE TEATIME PRINT BOWL ,1.5767832167832168,General,Retail,1.1037482517482518
20672,PINK TEATIME PRINT BOWL,1.75,General,Retail,1.2249999999999999
20673,STRAWBERRIES PRINT BOWL,1.25,General,Retail,0.875
20674,GREEN SPOTTY BOWL,1.5062017167381974,General,Retail,1.0543412017167382
20675,BLUE SPOTTY BOWL,1.507034383954155,General,Retail,1.0549240687679085
20676,RED SPOTTY BOWL,1.5504423868312758,General,Retail,1.085309670781893
20677,PINK SPOTTY BOWL,1.5826007802340702,General,Retail,1.107820546163849
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,General,Retail,1.1549999999999998
20679,EDWARDIAN PARASOL RED,6.662262569832403,General,Retail,4.663583798882682
20680,PINK FLOWERS CHILDS UMBRELLA,3.25,General,Retail,2.275
20681,PINK SPOTTY CHILDS UMBRELLA,3.8498250728862975,General,Retail,2.694877551020408
20682,RED SPOTTY CHILDS UMBRELLA,3.8574704890387856,General,Retail,2.70022934232715
20683,RAIN GIRL CHILDS UMBRELLA,3.25,General,Retail,2.275
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.5827683615819206,General,Retail,2.5079378531073444
20685,RED SPOTTY COIR DOORMAT,8.403582175925926,General,Retail,5.882507523148148
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.713978494623656,General,Retail,2.599784946236559
20688,BEAUTY SPEED EXPRESSO CUPS,6.004545454545454,General,Retail,4.203181818181817
20689,RETRO SISTERS EXPRESSO CUPS,6.176585365853659,General,Retail,4.323609756097561
20692,FLORAL ELEPHANT SOFT TOY,4.892127659574468,General,Retail,3.4244893617021277
20693,FLORAL DINOSAUR GREEN,5.207777777777778,General,Retail,3.6454444444444447
20694,FLORAL PINK MONSTER,4.398363636363636,General,Retail,3.0788545454545453
20695,FLORAL BLUE MONSTER,4.856393442622951,General,Retail,3.3994754098360658
20696,FLORAL SOFT CAR TOY,4.625666666666667,General,Retail,3.2379666666666664
20697,LITTLE GREEN MONSTER SOFT TOY,2.507142857142857,General,Retail,1.755
20698,LITTLE PINK MONSTER SOFT TOY,2.509090909090909,General,Retail,1.7563636363636361
20699,MOUSEY LONG LEGS SOFT TOY,3.062134831460674,General,Retail,2.1434943820224714
20700,GREEN CAT FLORAL CUSHION COVER ,5.4233980582524275,General,Retail,3.796378640776699
20701,PINK CAT FLORAL CUSHION COVER ,4.416,General,Retail,3.0912
20702,PINK PADDED MOBILE,4.303225806451613,General,Retail,3.012258064516129
20703,BLUE PADDED SOFT MOBILE,4.2601775147928995,General,Retail,2.9821242603550293
20704,MR ROBOT SOFT TOY,6.370875,General,Retail,4.4596124999999995
20705,MRS ROBOT SOFT TOY,5.42622641509434,General,Retail,3.798358490566038
20707,CRAZY DAISY HEART DECORATION,1.22405,General,Retail,0.856835
20711,JUMBO BAG TOYS ,2.726691943127962,General,Retail,1.9086843601895733
20712,JUMBO BAG WOODLAND ANIMALS,2.738984593837535,General,Retail,1.9172892156862744
20713,JUMBO BAG OWLS,2.5839698113207543,General,Retail,1.8087788679245278
20714,POSY SHOPPER BAG,0.9467857142857142,General,Retail,0.66275
20715,LITTLE FLOWER SHOPPER BAG,1.06,General,Retail,0.742
20716,PARTY FOOD SHOPPER BAG,1.4443373493975904,General,Retail,1.0110361445783131
20717,STRAWBERRY SHOPPER BAG,1.5932549019607842,General,Retail,1.1152784313725488
20718,RED SPOTTY SHOPPER BAG,1.655369458128079,General,Retail,1.1587586206896552
20719,WOODLAND CHARLOTTE BAG,1.1526611883691529,General,Retail,0.806862831858407
20721,OWLS CHARLOTTE BAG,0.85,General,Retail,0.595
20723,STRAWBERRY CHARLOTTE BAG,1.1350252343186733,General,Retail,0.7945176640230712
20724,RED SPOTTY CHARLOTTE BAG,1.1019629810034095,General,Retail,0.7713740867023866
20725,LUNCH BAG RED SPOTTY,2.0539255663430422,General,Retail,1.4377478964401296
20726,LUNCH BAG WOODLAND,2.1123128205128205,General,Retail,1.4786189743589744
20727,LUNCH BAG  BLACK SKULL.,2.023109908409659,General,Retail,1.416176935886761
20728,LUNCH BAG CARS BLUE,1.9748732663797226,General,Retail,1.3824112864658058
20729,RED SPOTTY CANDY BAG,1.4020661157024794,General,Retail,0.9814462809917355
20730,STRAWBERRY CANDY BAG,1.0862745098039215,General,Retail,0.760392156862745
20731,POSY CANDY BAG,1.4024657534246574,General,Retail,0.9817260273972601
20733,GOLD MINI TAPE MEASURE ,0.8517627118644067,General,Retail,0.5962338983050847
20734,SILVER MINI TAPE MEASURE ,1.3161016949152542,General,Retail,0.9212711864406778
20735,BLACK MINI TAPE MEASURE ,1.20519801980198,General,Retail,0.8436386138613859
20736,PINK MINI TAPE MEASURE ,0.8431578947368421,General,Retail,0.5902105263157894
20737,RED MINI TAPE MEASURE ,1.7,General,Retail,1.19
20738,GREEN MINI TAPE MEASURE ,0.9545945945945946,General,Retail,0.6682162162162162
20739,*USB Office Glitter Lamp,8.65,General,Retail,6.055
20747,PICCADILLY TEA SET,15.723703703703702,General,Retail,11.006592592592591
20748,KENSINGTON COFFEE SET,12.383224043715847,General,Retail,8.668256830601093
20749,ASSORTED COLOUR MINI CASES,8.091415584415586,General,Retail,5.663990909090909
20750, RED/WHITE DOT MINI CASES,8.11246170678337,General,Retail,5.6787231947483585
20751,FUNKY WASHING UP GLOVES ASSORTED,2.3205465587044536,General,Retail,1.6243825910931173
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2.377765363128492,General,Retail,1.6644357541899442
20753,RETRO PINK SPOT WASHING UP GLOVES,2.6607142857142856,General,Retail,1.8624999999999998
20754,RETRO RED SPOTTY WASHING UP GLOVES,2.488578088578089,General,Retail,1.742004662004662
20755,BLUE PAISLEY POCKET BOOK,0.9081147540983606,General,Retail,0.6356803278688524
20756,GREEN FERN POCKET BOOK,0.8060937499999999,General,Retail,0.5642656249999999
20757,RED DAISY POCKET BOOK ,0.8440506329113923,General,Retail,0.5908354430379745
20758,ABSTRACT CIRCLES POCKET BOOK,0.8189690721649484,General,Retail,0.5732783505154638
20759,CHRYSANTHEMUM POCKET BOOK ,0.7725396825396825,General,Retail,0.5407777777777777
20760,GARDEN PATH POCKET BOOK,0.7926829268292683,General,Retail,0.5548780487804877
20761,BLUE PAISLEY SKETCHBOOK,4.008979591836735,General,Retail,2.8062857142857145
20762,GREEN FERN SKETCHBOOK ,3.836102941176471,General,Retail,2.6852720588235295
20763,DAISY SKETCHBOOK ,3.805945945945946,General,Retail,2.664162162162162
20764,ABSTRACT CIRCLES SKETCHBOOK ,4.1788659793814436,General,Retail,2.9252061855670104
20765,CHRYSANTHEMUM SKETCHBOOK ,3.9039455782312924,General,Retail,2.7327619047619045
20766,GARDEN PATH SKETCHBOOK,3.951910828025478,General,Retail,2.7663375796178347
20767,BLUE PAISLEY JOURNAL ,2.6804469273743012,General,Retail,1.8763128491620107
20768,GREEN FERN JOURNAL ,2.557046979865772,General,Retail,1.7899328859060402
20769,DAISY JOURNAL ,2.561625,General,Retail,1.7931374999999998
20770,ABSTRACT CIRCLE JOURNAL ,2.4737623762376235,General,Retail,1.7316336633663363
20771,CHRYSANTHEMUM  JOURNAL,2.5679285714285713,General,Retail,1.7975499999999998
20772,GARDEN PATH JOURNAL,2.5111111111111106,General,Retail,1.7577777777777772
20773,BLUE PAISLEY NOTEBOOK,1.7422499999999999,General,Retail,1.2195749999999999
20774,GREEN FERN NOTEBOOK,1.7389999999999999,General,Retail,1.2172999999999998
20775,DAISY NOTEBOOK ,1.7398230088495574,General,Retail,1.2178761061946901
20776,ABSTRACT CIRCLES NOTEBOOK,1.7828235294117647,General,Retail,1.2479764705882352
20777,CHRYSANTHEMUM NOTEBOOK,1.7810588235294116,General,Retail,1.246741176470588
20778,GARDEN PATH NOTEBOOK ,1.808021978021978,General,Retail,1.2656153846153846
20780,BLACK EAR MUFF HEADPHONES,6.895445544554456,General,Retail,4.826811881188119
20781,GOLD EAR MUFF HEADPHONES,6.378196721311475,General,Retail,4.464737704918033
20782,CAMOUFLAGE EAR MUFF HEADPHONES,6.8659770114942535,General,Retail,4.806183908045977
20783,HEART EAR MUFF HEADPHONES,7.64509090909091,General,Retail,5.351563636363637
20784,RED RETRO BAR STOOL,36.42621621621622,General,Retail,25.498351351351353
20785,FUSCHIA RETRO BAR STOOL,37.55945945945946,General,Retail,26.291621621621623
20786,BLACK RETRO BAR STOOL,36.876875,General,Retail,25.813812499999997
20787,BLUE RETRO BAR STOOL,38.021875,General,Retail,26.615312499999998
20791,BLUE TILED SET OF 3 DRAWERS,12.75,General,Retail,8.924999999999999
20793,BLUE TILED TRAY,8.935,General,Retail,6.2545
