StockCode,avg_daily_sales,on_hand_units,on_order_units,lead_time_days,reorder_point
21018,5.916666666666667,165,21,17,100
21025,4.477611940298507,116,74,18,80
21026,5.545454545454546,72,65,18,99
21027,5.725806451612903,120,11,19,108
21028,4.0375,72,93,18,72
21030,4.78,133,35,16,76
21031,3.789473684210526,79,17,9,34
21032,4.06,73,89,15,60
21033,15.506756756756756,248,52,7,108
21034,7.316270566727606,168,70,5,36
21035,13.5,391,0,15,202
21036,1.0,28,57,14,14
21038,3.608695652173913,86,89,10,36
21039,7.335195530726257,183,86,15,110
21040,17.192307692307693,240,89,5,85
21041,9.659420289855072,115,5,13,125
21042,5.622137404580153,118,69,6,33
21043,6.838383838383838,198,43,5,34
21051,7.25,94,71,19,137
21054,2.6527777777777777,66,23,16,42
21055,2.23121387283237,35,85,11,24
21056,3.40625,74,18,10,34
21058,11.57487922705314,219,17,10,115
21059,8.48936170212766,135,94,18,152
21060,9.451851851851853,217,29,9,85
21061,9.561643835616438,133,41,15,143
21062,8.560975609756097,102,32,8,68
21063,7.583333333333333,151,73,15,113
21064,7.072,141,11,8,56
21065,6.4,172,93,7,44
21066,20.212389380530972,485,26,14,282
21067,24.551546391752577,515,38,12,294
21068,16.134920634920636,290,8,11,177
21069,24.39712918660287,463,20,13,317
21070,11.689655172413794,245,75,5,58
21071,14.822916666666666,385,28,11,163
21076,14.53448275862069,218,32,14,203
21077,23.846153846153847,381,61,8,190
21078,19.127320954907162,439,14,11,210
21080,53.21232876712329,1170,1,17,904
21081,1.0,17,51,16,16
21082,55.68217054263566,1057,43,5,278
21084,18.656050955414013,335,53,9,167
21085,259.07547169811323,6995,17,7,1813
21086,40.432038834951456,444,2,9,363
21087,8.666666666666666,121,6,8,69
21088,155.2803738317757,2173,42,6,931
21089,8.72972972972973,130,81,15,130
21090,16.015463917525775,448,37,8,128
21091,360.5263157894737,6128,36,7,2523
21092,494.0769230769231,12351,57,17,8399
21094,42.40388768898488,932,32,5,212
21095,7.7631578947368425,77,58,16,124
21096,148.77570093457945,4314,94,14,2082
21097,4.571428571428571,118,10,12,54
21098,43.33502538071066,693,67,19,823
21099,443.0,9746,81,9,3987
21100,14.68208092485549,190,67,8,117
21102,4.555555555555555,59,97,14,63
21106,5.486111111111111,82,92,16,87
21107,10.807511737089202,302,87,9,97
21108,39.39817629179331,827,21,8,315
21109,7.768211920529802,124,65,7,54
21110,7.224669603524229,137,43,9,65
21111,8.460122699386503,236,5,8,67
21112,14.912751677852349,238,41,19,283
21114,18.10223642172524,217,24,5,90
21115,4.285223367697594,94,56,16,68
21116,4.208074534161491,92,84,7,29
21117,12.615384615384615,340,54,14,176
21118,11.5,333,15,19,218
21119,1.0,17,94,14,14
21120,1.0,18,13,12,12
21121,33.29321663019694,532,38,11,366
21122,27.74772727272727,277,27,6,166
21123,14.18041237113402,170,95,5,70
21124,25.781491002570693,567,91,7,180
21125,11.057291666666666,287,50,9,99
21126,10.568181818181818,105,48,14,147
21127,7.071428571428571,106,8,19,134
21128,2.25,33,57,15,33
21129,2.1379310344827585,44,44,16,34
21130,19.486486486486488,428,21,5,97
21131,5.75,126,31,7,40
21132,2.1136363636363638,50,68,7,14
21133,15.76923076923077,394,86,9,141
21134,11.424242424242424,228,68,7,79
21135,20.426621160409557,285,41,17,347
21136,26.572151898734177,345,52,13,345
21137,54.15895953757225,649,95,5,270
21143,18.0,504,58,8,144
21144,12.928571428571429,374,73,17,219
21145,19.31111111111111,521,38,17,328
21146,18.785714285714285,450,14,14,263
21147,5.482758620689655,98,70,14,76
21153,4.010204081632653,104,28,8,32
21154,17.713347921225385,407,2,5,88
21155,15.756501182033096,378,82,18,283
21156,20.718820861678005,207,9,6,124
21157,5.468253968253968,65,91,15,82
21158,11.549107142857142,288,28,5,57
21159,10.850515463917526,217,78,10,108
21160,15.568627450980392,326,34,7,108
21161,15.128205128205128,287,5,11,166
21162,12.317948717948719,307,11,9,110
21163,14.814814814814815,251,37,13,192
21164,14.878109452736318,223,76,11,163
21165,21.176470588235293,444,92,8,169
21166,42.956896551724135,730,18,9,386
21167,25.15463917525773,327,66,9,226
21169,24.53185595567867,417,7,15,367
21171,10.307262569832401,278,7,19,195
21172,17.585812356979407,246,83,9,158
21173,6.538461538461538,117,46,14,91
21174,19.238095238095237,250,3,13,250
21175,39.38285714285714,1023,50,14,551
21179,15.3,275,84,7,107
21181,59.883777239709445,598,66,10,598
21185,4.4,127,44,12,52
21186,27.74736842105263,610,7,15,416
21187,12.679245283018869,316,86,13,164
21188,8.0,176,15,17,136
21189,8.302083333333334,190,76,19,157
21190,9.372093023255815,112,66,11,103
21191,10.48936170212766,157,8,16,167
21192,14.641891891891891,395,59,7,102
21193,6.166666666666667,172,77,5,30
21194,6.72093023255814,94,76,8,53
21195,8.594827586206897,206,70,17,146
21196,8.476190476190476,93,14,10,84
21197,10.534883720930232,200,70,7,73
21198,11.981308411214954,323,97,18,215
21199,10.038461538461538,220,40,5,50
21200,13.280373831775702,185,21,10,132
21201,14.202072538860104,142,23,18,255
21202,13.555555555555555,135,43,5,67
21203,14.941747572815533,403,0,13,194
21204,9.514792899408285,228,9,15,142
21205,5.395161290322581,140,79,18,97
21206,10.994897959183673,219,71,16,175
21207,16.22072072072072,421,55,5,81
21208,10.169811320754716,223,88,17,172
21209,11.808,118,49,10,118
21210,32.16595744680851,353,11,5,160
21211,13.287292817679559,239,88,16,212
21212,159.73737373737373,1916,80,11,1757
21213,74.83828996282529,748,59,7,523
21214,16.578512396694215,414,25,10,165
21215,18.745689655172413,281,77,11,206
21216,9.590123456790124,249,40,5,47
21217,6.496644295302014,90,35,5,32
21218,12.0,168,22,17,204
21219,6.891156462585034,103,42,9,62
21220,4.954887218045113,59,5,10,49
21221,5.631578947368421,78,68,19,107
21222,5.6454545454545455,79,42,19,107
21223,14.470588235294118,274,24,13,188
21224,9.317596566523605,177,17,18,167
21225,1.0,28,61,5,5
21226,6.264705882352941,162,12,17,106
21228,3.3448275862068964,76,42,8,26
21231,41.2484076433121,742,77,14,577
21232,67.01410934744268,1541,27,12,804
21238,21.344594594594593,213,17,14,298
21239,17.84261501210654,499,58,13,231
21240,17.795774647887324,391,59,19,338
21241,13.660493827160494,300,62,17,232
21242,18.073979591836736,234,56,7,126
21243,17.6125,176,91,15,264
21244,16.872909698996654,438,50,6,101
21245,11.112554112554113,188,55,8,88
21246,4.595092024539877,50,26,6,27
21247,6.59375,112,31,5,32
21248,7.45,119,8,16,119
21249,7.872037914691943,86,95,7,55
21250,7.3090909090909095,87,83,11,80
21251,5.129310344827586,138,91,17,87
21252,11.2,235,96,17,190
21253,3.074074074074074,30,67,5,15
21255,8.206896551724139,172,45,6,49
21256,8.35897435897436,117,97,5,41
21257,4.840625,125,66,12,58
21258,5.948616600790514,148,25,9,53
21259,6.180592991913747,148,7,12,74
21260,10.873065015479876,260,5,7,76
21261,4.287878787878788,60,79,17,72
21262,5.883495145631068,135,23,16,94
21263,6.1020408163265305,67,47,11,67
21264,6.741379310344827,134,93,12,80
21265,9.441176470588236,264,44,19,179
21266,3.2857142857142856,52,12,10,32
21267,3.4285714285714284,51,68,17,58
21268,9.925,109,24,17,168
21269,1.78125,26,19,11,19
21270,1.7674418604651163,47,81,18,31
21272,9.46774193548387,104,81,16,151
21274,2.108433734939759,56,65,6,12
21275,5.297872340425532,127,73,12,63
21276,33.85,947,44,9,304
21277,1.173913043478261,12,46,11,12
21278,27.858585858585858,807,62,5,139
21279,39.18888888888889,587,75,9,352
21280,49.01470588235294,490,76,5,245
21281,58.41269841269841,1401,54,16,934
21282,5.933333333333334,112,74,17,100
21283,7.013698630136986,196,18,12,84
21284,13.570175438596491,352,34,19,257
21285,13.426666666666666,187,52,8,107
21286,12.575,163,25,8,100
21287,51.9873417721519,987,13,6,311
21288,5.64367816091954,146,44,9,50
21289,15.358695652173912,291,43,5,76
21290,2.0,52,87,13,26
21291,19.134920634920636,554,64,9,172
21292,31.0,434,50,10,310
21293,5.119402985074627,56,42,6,30
21294,18.260162601626018,273,85,14,255
21298,6.5,71,22,14,91
21299,7.217391304347826,158,55,5,36
21300,8.833333333333334,176,18,8,70
21303,4.173913043478261,83,81,11,45
21304,5.733333333333333,143,75,10,57
21306,10.476923076923077,209,54,14,146
21307,12.483333333333333,349,91,5,62
21308,22.0,528,91,5,110
21309,12.25,306,59,12,147
21310,1.5,30,58,8,12
21311,8.151162790697674,203,32,9,73
21312,11.5,195,18,17,195
21313,23.79787234042553,309,27,11,261
21314,24.00420168067227,408,51,12,288
21316,16.5,214,48,19,313
21317,5.1,61,36,14,71
21318,13.315068493150685,159,25,11,146
21319,8.466666666666667,228,98,6,50
21320,7.803921568627451,218,97,18,140
21321,7.176470588235294,200,98,19,136
21322,25.083333333333332,351,39,8,200
21323,12.131147540983607,327,79,14,169
21324,7.681818181818182,145,37,16,122
21326,48.68493150684932,730,76,5,243
21327,6.15335463258786,61,86,14,86
21328,7.07536231884058,99,53,13,91
21329,6.5678233438485805,118,21,7,45
21330,12.0,252,15,16,192
21331,4.074074074074074,93,27,7,28
21332,6.0,66,34,14,84
21333,6.60625,171,59,13,85
21335,1.68,38,44,14,23
21336,43.404761904761905,954,45,7,303
21337,3.0,54,71,12,36
21338,16.583333333333332,398,54,6,99
21339,2.727272727272727,65,85,18,49
21340,6.948616600790514,138,84,17,118
21341,3.4285714285714284,85,25,7,24
21343,6.666666666666667,173,84,6,40
21344,6.64,86,24,5,33
21347,2.0,20,64,6,12
21348,8.174757281553399,138,5,12,98
21349,6.144444444444445,159,22,13,79
21350,7.03125,84,63,17,119
21351,11.329896907216495,328,86,6,67
21352,8.54368932038835,205,42,11,93
21353,3.1666666666666665,76,22,19,60
21354,15.378881987577639,353,95,9,138
21355,17.17412935323383,395,29,7,120
21356,6.497959183673469,71,76,13,84
21357,9.985611510791367,219,17,19,189
21358,6.342696629213483,145,86,10,63
21359,3.2,89,78,15,48
21360,5.25,84,96,5,26
21361,2.865979381443299,34,20,9,25
21363,3.7846153846153845,90,56,11,41
21364,4.0,92,22,8,32
21365,6.7,134,90,12,80
21366,3.5522388059701493,85,44,14,49
21367,3.981132075471698,87,43,9,35
21368,4.674418604651163,126,81,13,60
21369,6.333333333333333,95,87,13,82
21370,2.5714285714285716,30,46,13,33
21371,6.8474576271186445,191,39,5,34
21372,3.466666666666667,83,50,6,20
21373,12.23076923076923,171,41,7,85
21374,7.230769230769231,137,6,18,130
